DST0101*01  X220 000-006-002 002 004 001 000 001 000-002-007-007 001 005 009 012 013 009 004 005 004 002 005 004-001 002
DST0101*02  X220 000-003-001 003 007 009 011 015 014 011 008 008 008 008 008 016 016 014 015 017 019 022 024 017 018 012
DST0101*03  X220 000 017 025 011-003-021-035-033-021-015-017-023-021-012-008-005-001-001-001 001 002 000-004-007-008-008
DST0101*04  X220 000-009-002-001 000 002 004 000-002-004-004-007 001 004 005 007 004 013 004-010-009-010-010-009-008-002
DST0101*05  X220 000-008-008-007-004-005-006-005-007-008-009-010-006-005-006-005-004-004-008-014-012-008-004-008-010-007
DST0101*06  X220 000-012-011-007-003 000 001 000-004-005-005-005-003 000-001 000-001-001 002 001 001 000 002 004 004-002
DST0101*07  X220 000 003 002 002 000-003-006-008-008-010-010-009-007-004-005-005-001-001-002-003-001-001 001 007 005-003
DST0101*08  X220 000 005 005 003 002 003 002-001-003-006-005-003 004 007 005 008 009 007 004-001 003-003-010-019-018 000
DST0101*09  X220 000-011-009-010-011-011-012-009-010-014-022-026-024-020-015-017-016-015-013-012-011-006-003-003-005-013
DST0101*10  X220 000-005-005-002-003-002-002-002-002-004-007-008-004 000 003 003 000 006 003 001 006 013 000 005 008 000
DST0101*11  X220 000 008 008 006 003 001 001 001 000-002-005-008-010-008-006-009-011-015-016-016-012-015-012-009-006-006
DST0101*12  X220 000-005-005-012-014-016-023-026-025-026-029-030-026-023-018-017-016-017-016-018-018-021-020-017-012-019
DST0101*13  X220 000-009-008-001 005 006 005 005 005 001-002 004 004 002-007-011-005-002-003-006-007-006-009-006-003-002
DST0101*14  X220 000-001 000 001-003-004-006-004-004-011-017-017-016-008-007-009-007-008-007-004-002-007-012-016-015-008
DST0101*15  X220 000-012-011-009-006-003-003-003-004-008-011-011-009-005-009-013-018-021-024-026-021-019-016-014-013-012
DST0101*16  X220 000-010-010-007-005-002-002-001-003-004-003 000 002-001-003-004-006-007-013-010-009-013-010-007-006-006
DST0101*17  X220 000-012-020-017-010-008-001 000 002 003 006 008 011 019 018 013 013 015 015 010 012 015 009 006 009 005
DST0101*18  X220 000 008 005 003 001-002-003 000 002-002 005 012 017 020 021 007 004 004 002 002 005 000 001-001 000 005
DST0101*19  X220 000 000 000 000 005 007 009 009 009 012 016 017 016 011 006 006 005 004 003 009 002 004 004 009 014 007
DST0101*20  X220 000 015 016 018 018 016 014 011 005 000 000-001 003 007 005-003-008-013-016-019-020-015-014-017-011 000
DST0101*21  X220 000-014-020-025-023-023-022-023-020-013-010-011-013-014-025-029-036-038-035-029-032-037-040-027-026-024
DST0101*22  X220 000-032-032-031-024-021-026-029-029-023-023-030-032-023-018-020-024-021-021-021-024-022-021-024-023-025
DST0101*23  X220 000-022-022-020-017-016-016-017-017-017-021-014 011 014 012 007-004-008-010-008-017-025-025-022-016-012
DST0101*24  X220 000-019-025-018-011-014-018-023-026-029-026-026-028-029-038-046-052-055-058-061-048-051-050-047-042-035
DST0101*25  X220 000-041-034-028-024-028-027-025-024-028-032-032-028-025-026-026-021-020-022-022-024-027-026-029-032-027
DST0101*26  X220 000-030-023-020-024-029-033-034-035-031-031-031-027-027-028-030-027-026-027-021-022-020-024-020-012-026
DST0101*27  X220 000-010-014-017-017-019-019-020-019-020-024-025-021-019-017-015-013-010-011-013-014-012-013-014-010-016
DST0101*28  X220 000-011-012-010-004 003 002-004-012-020-017-012-009-006 002 005 005 010 006 009 013 009 006 010 007-001
DST0101*29  X220 000 003 001-021-027-018-011-023-029-026-022-019-017-015-014-011-010-012-013-014-018-018-017-019-017-016
DST0101*30  X220 000-016-016-014-015-014-010-008-008-008-007-008-009-007-008-008-009-009-006-006-006-007-007-006-006-009
DST0101*31  X220 000-008-010-008-005-003-002-002-004 010-004-030-037-027-025-025-030-039-039-045-042-042-039-040-036-022
